Epoch,Time(s),Loss,F1
00000,36.4476,0.6092,0.0000
00001,34.2462,1.1625,0.0000
00002,32.5179,0.7349,0.0014
00003,31.7017,0.2315,0.1373
00004,31.1990,3.3760,0.0076
00005,30.8431,0.2118,0.0000
00006,30.5830,0.4180,0.0000
00007,30.3953,0.4989,0.0000
00008,30.2419,0.5128,0.0000
00009,30.1408,0.4903,0.0000
00010,30.0424,0.4390,0.0000
00011,30.4496,0.3596,0.0028
00012,30.3915,0.2467,0.1875
00013,30.3104,0.3332,0.1674
00014,30.2419,0.1852,0.0090
00015,30.2002,0.1936,0.0029
00016,30.1629,0.2055,0.0018
00017,30.1336,0.2007,0.0015
00018,30.0967,0.1850,0.0031
00019,30.0736,0.1638,0.0086
00020,30.0579,0.1476,0.0612
00021,30.0329,0.1692,0.0305
00022,30.0142,0.1491,0.0026
00023,29.9986,0.1354,0.0015
00024,29.9785,0.1413,0.0010
00025,29.9697,0.1474,0.0006
00026,30.2527,0.1478,0.0007
00027,30.2381,0.1437,0.0010
00028,30.2271,0.1384,0.0028
00029,30.2169,0.1354,0.0079
00030,30.2048,0.1363,0.0150
00031,30.1974,0.1382,0.0122
00032,30.1852,0.1374,0.0080
00033,30.1710,0.1350,0.0051
00034,30.1594,0.1341,0.0052
00035,30.1440,0.1360,0.0079
00036,30.1435,0.1345,0.0125
00037,30.1400,0.1330,0.0224
00038,30.1330,0.1324,0.0336
00039,30.1288,0.1321,0.0432
00040,30.3828,0.1319,0.0521
00041,30.4294,0.1314,0.0564
00042,30.4155,0.1309,0.0599
00043,30.4002,0.1303,0.0626
00044,30.3851,0.1298,0.0684
00045,30.3647,0.1293,0.0804
00046,30.3492,0.1286,0.1032
00047,30.3311,0.1277,0.1309
00048,30.3103,0.1274,0.1438
00049,30.2947,0.1268,0.1455
00050,30.2759,0.1257,0.1489
00051,30.2596,0.1254,0.1675
00052,30.2432,0.1245,0.2032
00053,30.2297,0.1241,0.2165
00054,30.2816,0.1237,0.2006
00055,30.3156,0.1228,0.1954
00056,30.3025,0.1226,0.2160
00057,30.2956,0.1218,0.2368
00058,30.2878,0.1218,0.2290
00059,30.2885,0.1210,0.2217
00060,30.2769,0.1207,0.2395
00061,30.2650,0.1199,0.2677
00062,30.2574,0.1195,0.2656
00063,30.2509,0.1189,0.2510
00064,30.2406,0.1185,0.2605
00065,30.2342,0.1179,0.2815
00066,30.2302,0.1175,0.2757
00067,30.2224,0.1168,0.2620
00068,30.2115,0.1165,0.2781
00069,30.3593,0.1158,0.2945
00070,30.3528,0.1154,0.2828
00071,30.3484,0.1148,0.2852
00072,30.3427,0.1144,0.3067
00073,30.3356,0.1139,0.2955
00074,30.3284,0.1133,0.2911
00075,30.3213,0.1129,0.3116
00076,30.3236,0.1126,0.2946
00077,30.3208,0.1121,0.3087
00078,30.3161,0.1117,0.3159
00079,30.3108,0.1114,0.2970
00080,30.3051,0.1112,0.3272
00081,30.2973,0.1110,0.2850
00082,30.2965,0.1112,0.3392
00083,30.3669,0.1108,0.2909
00084,30.3597,0.1107,0.3344
00085,30.3541,0.1099,0.3242
00086,30.3526,0.1094,0.3063
