Epoch,Time(s),Loss,f1
00000, 32.3688, 0.6646, 0.0000 
00001, 30.8934, 0.7161, 0.0000 
00002, 30.0499, 0.4767, 0.0067 
00003, 29.6715, 0.1787, 0.1372 
00004, 29.3338, 1.7155, 0.0004 
00005, 29.1633, 0.2276, 0.0000 
00006, 29.0614, 0.3667, 0.0000 
00007, 28.9540, 0.4213, 0.0000 
00008, 28.8704, 0.4221, 0.0000 
00009, 28.8388, 0.3901, 0.0000 
00010, 28.7927, 0.3390, 0.0000 
00011, 28.7441, 0.2834, 0.0000 
00012, 28.7157, 0.2344, 0.0000 
00013, 28.6949, 0.2040, 0.0000 
00014, 28.6310, 0.1884, 0.0214 
00015, 28.6095, 0.2013, 0.1177 
00016, 28.6123, 0.2055, 0.0018 
00017, 28.7606, 0.1553, 0.0000 
00018, 29.0886, 0.1502, 0.0000 
00019, 29.3967, 0.1648, 0.0000 
00020, 29.6781, 0.1752, 0.0000 
00021, 29.6819, 0.1777, 0.0000 
00022, 29.6842, 0.1725, 0.0000 
00023, 29.8648, 0.1629, 0.0000 
00024, 30.0479, 0.1511, 0.0000 
00025, 30.1793, 0.1434, 0.0000 
00026, 30.2767, 0.1435, 0.0000 
00027, 30.3518, 0.1512, 0.0000 
00028, 30.4328, 0.1558, 0.0000 
00029, 30.5188, 0.1510, 0.0000 
00030, 30.5581, 0.1459, 0.0000 
00031, 30.5890, 0.1453, 0.0000 
00032, 30.5398, 0.1452, 0.0000 
00033, 30.5546, 0.1441, 0.0000 
00034, 30.5428, 0.1434, 0.0000 
00035, 30.5206, 0.1425, 0.0000 
00036, 30.4602, 0.1418, 0.0000 
00037, 30.4360, 0.1412, 0.0000 
00038, 30.3898, 0.1408, 0.0000 
00039, 30.3321, 0.1406, 0.0000 
00040, 30.3043, 0.1407, 0.0000 
00041, 30.2822, 0.1408, 0.0000 
00042, 30.2295, 0.1404, 0.0002 
00043, 30.1764, 0.1397, 0.0005 
00044, 30.1271, 0.1391, 0.0014 
00045, 30.0820, 0.1388, 0.0026 
00046, 30.0384, 0.1386, 0.0059 
00047, 29.9983, 0.1384, 0.0108 
00048, 29.9586, 0.1379, 0.0199 
00049, 29.9207, 0.1373, 0.0344 
00050, 29.8780, 0.1365, 0.0556 
00051, 29.8374, 0.1357, 0.0810 
00052, 29.8056, 0.1351, 0.1033 
00053, 29.7702, 0.1345, 0.1154 
00054, 29.7397, 0.1338, 0.1204 
00055, 29.7089, 0.1332, 0.1241 
00056, 29.6795, 0.1330, 0.1408 
00057, 29.6488, 0.1327, 0.1635 
00058, 29.6214, 0.1323, 0.1776 
00059, 29.5977, 0.1320, 0.1739 
00060, 29.5733, 0.1314, 0.1682 
00061, 29.5507, 0.1309, 0.1716 
00062, 29.5276, 0.1303, 0.1865 
00063, 29.5058, 0.1296, 0.1947 
00064, 29.4809, 0.1291, 0.1906 
00065, 29.4595, 0.1284, 0.1882 
00066, 29.4365, 0.1279, 0.2011 
00067, 29.4181, 0.1271, 0.2151 
00068, 29.4015, 0.1265, 0.2057 
00069, 29.3851, 0.1257, 0.2143 
00070, 29.3663, 0.1250, 0.2401 
00071, 29.3479, 0.1244, 0.2254 
00072, 29.3315, 0.1237, 0.2469 
00073, 29.3148, 0.1229, 0.2538 
00074, 29.3005, 0.1223, 0.2422 
00075, 29.2869, 0.1218, 0.2910 
00076, 29.2742, 0.1218, 0.2182 
00077, 29.2604, 0.1225, 0.2923 
00078, 29.2482, 0.1202, 0.3051 
00079, 29.2330, 0.1200, 0.2361 
00080, 29.2144, 0.1211, 0.2946 
00081, 29.2015, 0.1184, 0.3345 
00082, 29.1898, 0.1198, 0.2402 
00083, 29.1780, 0.1202, 0.2682 
00084, 29.1636, 0.1178, 0.3520 
00085, 29.1543, 0.1199, 0.2838 
00086, 29.1452, 0.1162, 0.2539 
00087, 29.1363, 0.1176, 0.3046 
00088, 29.1260, 0.1150, 0.3458 
00089, 29.1150, 0.1167, 0.2873 
00090, 29.1040, 0.1143, 0.2661 
00091, 29.0973, 0.1151, 0.3171 
00092, 29.0926, 0.1129, 0.3519 
00093, 29.0844, 0.1141, 0.2928 
00094, 29.0744, 0.1124, 0.2825 
00095, 29.0654, 0.1127, 0.3401 
00096, 29.0558, 0.1113, 0.3527 
00097, 29.0456, 0.1114, 0.2950 
00098, 29.0377, 0.1111, 0.3052 
00099, 29.0276, 0.1103, 0.3629 
00100, 29.0182, 0.1106, 0.3309 
00101, 29.0088, 0.1091, 0.3051 
00102, 29.0011, 0.1096, 0.3494 
00103, 28.9933, 0.1086, 0.3556 
00104, 28.9804, 0.1085, 0.3116 
00105, 28.9689, 0.1086, 0.3429 
00106, 28.9585, 0.1076, 0.3716 
00107, 28.9490, 0.1080, 0.3090 
00108, 28.9428, 0.1082, 0.3531 
00109, 28.9345, 0.1067, 0.3826 
00110, 28.9263, 0.1075, 0.3018 
00111, 28.9227, 0.1084, 0.3600 
00112, 28.9172, 0.1058, 0.3999 
00113, 28.9116, 0.1080, 0.2794 
00114, 28.9068, 0.1104, 0.3447 
00115, 28.9014, 0.1055, 0.4236 
00116, 28.8953, 0.1140, 0.2516 
00117, 28.8895, 0.1156, 0.2535 
00118, 28.8827, 0.1159, 0.3881 
00119, 28.8780, 0.1061, 0.4238 
00120, 28.8727, 0.1173, 0.2957 
00121, 28.8697, 0.1097, 0.2399 
00122, 28.8677, 0.1182, 0.2926 
00123, 28.8639, 0.1096, 0.3981 
00124, 28.8611, 0.1095, 0.4026 
00125, 28.8574, 0.1108, 0.3347 
